LINE 401 : 2023-04-26 08:54:04,532 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 1341: 2023-04-26 08:54:09,920 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerifCondensed-BoldItalic.ttf) italic normal 700 condensed>) = 1.25
LINE 1341: 2023-04-26 08:54:09,920 [DEBUG   ] findfont: score(<Font 'Noto Sans Tamil UI' (NotoSansTamilUI-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,920 [DEBUG   ] findfont: score(<Font 'Noto Sans Lepcha' (NotoSansLepcha-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,920 [DEBUG   ] findfont: score(<Font 'Noto Sans Lycian' (NotoSansLycian-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,920 [DEBUG   ] findfont: score(<Font 'Noto Sans CJK JP' (NotoSansCJK-Bold.ttc) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,920 [DEBUG   ] findfont: score(<Font 'Noto Sans Glagolitic' (NotoSansGlagolitic-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,920 [DEBUG   ] findfont: score(<Font 'Liberation Mono' (LiberationMono-BoldItalic.ttf) italic normal 700 normal>) = 11.05
LINE 1341: 2023-04-26 08:54:09,920 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif.ttf) normal normal 400 normal>) = 0.33499999999999996
LINE 1341: 2023-04-26 08:54:09,920 [DEBUG   ] findfont: score(<Font 'KacstPen' (KacstPen.ttf) normal normal 500 normal>) = 10.24
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Noto Serif Malayalam' (NotoSerifMalayalam-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Noto Sans Gurmukhi UI' (NotoSansGurmukhiUI-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Tiresias Infofont' (tiresias_infofont.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Tiresias Signfont Z' (tiresias_signfontz_italic.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Tlwg Typo' (TlwgTypo-BoldOblique.ttf) oblique normal 700 normal>) = 11.05
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Lato' (Lato-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Laksaman' (Laksaman-BoldItalic.ttf) italic normal 700 normal>) = 11.05
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Lato' (Lato-SemiboldItalic.ttf) italic normal 600 normal>) = 11.145
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Noto Serif Devanagari' (NotoSerifDevanagari-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'KacstDecorative' (KacstDecorative.ttf) normal normal 500 normal>) = 10.24
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Tlwg Typist' (TlwgTypist.ttf) normal normal 500 normal>) = 10.24
LINE 1341: 2023-04-26 08:54:09,921 [DEBUG   ] findfont: score(<Font 'Noto Sans Oriya UI' (NotoSansOriyaUI-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'Norasi' (Norasi-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'Karumbi' (Karumbi.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'Noto Serif Myanmar' (NotoSerifMyanmar-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Oblique.ttf) oblique normal 400 normal>) = 11.335
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'OpenDyslexicAlta' (OpenDyslexicAlta-BoldItalic.otf) italic normal 700 normal>) = 11.05
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'Garuda' (Garuda-Oblique.ttf) oblique normal 400 normal>) = 11.335
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'Tiresias PCfont Z' (tiresias_pcfontz_italic.ttf) italic normal 28926 normal>) = 37.8647
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'Tiresias PCfont Z' (tiresias_pcfontz.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'Noto Sans Inscriptional Pahlavi' (NotoSansInscriptionalPahlavi-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,922 [DEBUG   ] findfont: score(<Font 'Noto Sans Devanagari UI' (NotoSansDevanagariUI-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'Noto Sans Thaana' (NotoSansThaana-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'Noto Serif Armenian' (NotoSerifArmenian-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'Noto Sans Hanunoo' (NotoSansHanunoo-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerifCondensed.ttf) normal normal 400 condensed>) = 0.5349999999999999
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'FreeMono' (FreeMonoBoldOblique.ttf) oblique normal 700 normal>) = 11.05
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'Ubuntu Mono' (UbuntuMono-R.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'Noto Sans Imperial Aramaic' (NotoSansImperialAramaic-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'Noto Sans Runic' (NotoSansRunic-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'Likhan' (LikhanNormal.ttf) normal normal 500 normal>) = 10.24
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'Noto Sans Mongolian' (NotoSansMongolian-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,923 [DEBUG   ] findfont: score(<Font 'Lohit Devanagari' (Lohit-Devanagari.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'Noto Sans Myanmar UI' (NotoSansMyanmarUI-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'Noto Sans Cuneiform' (NotoSansCuneiform-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'MathJax_Main' (MathJax_Main-Regular.otf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'FreeMono' (FreeMonoOblique.ttf) oblique normal 400 normal>) = 11.335
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'KacstArt' (KacstArt.ttf) normal normal 500 normal>) = 10.24
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'Tlwg Typo' (TlwgTypo-Oblique.ttf) oblique normal 500 normal>) = 11.24
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSansCondensed.ttf) normal normal 400 condensed>) = 10.535
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'Noto Serif Thai' (NotoSerifThai-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'Tiresias Signfont' (tiresias_signfont.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'FreeMono' (FreeMono.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'Pagul' (Pagul.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,924 [DEBUG   ] findfont: score(<Font 'Noto Sans Javanese' (NotoSansJavanese-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,925 [DEBUG   ] findfont: score(<Font 'Liberation Mono' (LiberationMono-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,925 [DEBUG   ] findfont: score(<Font 'MathJax_Fraktur' (MathJax_Fraktur-Regular.otf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,925 [DEBUG   ] findfont: score(<Font 'Noto Sans NKo' (NotoSansNKo-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2023-04-26 08:54:09,925 [DEBUG   ] findfont: score(<Font 'Noto Sans Old Italic' (NotoSansOldItalic-Regular.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2023-04-26 08:54:09,925 [DEBUG   ] findfont: score(<Font 'Avenir LT Std' (AvenirLTStd-Black.otf) normal normal 750 normal>) = 10.0975
